snapshot_ts,queried_stop_id,route,direction,eta,eta_seq,data_timestamp
2025-11-23T23:46:48.126915+08:00,3F24CFF9046300D9,272A,O,2025-11-23T23:55:40+08:00,1,2025-11-23T23:46:03+08:00
2025-11-23T23:46:48.126915+08:00,3F24CFF9046300D9,272A,O,2025-11-24T00:14:02+08:00,2,2025-11-23T23:46:03+08:00
2025-11-23T23:46:48.126915+08:00,3F24CFF9046300D9,272A,O,2025-11-24T00:34:02+08:00,3,2025-11-23T23:46:03+08:00
2025-11-23T23:46:48.126915+08:00,3F24CFF9046300D9,272A,O,2025-11-23T23:55:40+08:00,1,2025-11-23T23:46:03+08:00
2025-11-23T23:46:48.126915+08:00,3F24CFF9046300D9,272A,O,2025-11-24T00:14:02+08:00,2,2025-11-23T23:46:03+08:00
2025-11-23T23:46:48.126915+08:00,3F24CFF9046300D9,272A,O,2025-11-24T00:34:02+08:00,3,2025-11-23T23:46:03+08:00
2025-11-23T23:46:48.126915+08:00,3F24CFF9046300D9,272A,O,2025-11-23T23:55:40+08:00,1,2025-11-23T23:46:03+08:00
2025-11-23T23:46:48.126915+08:00,3F24CFF9046300D9,272A,O,2025-11-24T00:14:02+08:00,2,2025-11-23T23:46:03+08:00
2025-11-23T23:46:48.126915+08:00,3F24CFF9046300D9,272A,O,2025-11-24T00:34:02+08:00,3,2025-11-23T23:46:03+08:00
2025-11-23T23:46:48.126915+08:00,B34F59A0270AEDA4,272A,O,2025-11-23T23:56:24+08:00,1,2025-11-23T23:46:03+08:00
2025-11-23T23:46:48.126915+08:00,B34F59A0270AEDA4,272A,O,2025-11-24T00:14:38+08:00,2,2025-11-23T23:46:03+08:00
2025-11-23T23:46:48.126915+08:00,B34F59A0270AEDA4,272A,O,2025-11-24T00:34:38+08:00,3,2025-11-23T23:46:03+08:00
2025-11-23T23:46:48.126915+08:00,B34F59A0270AEDA4,272A,O,2025-11-23T23:56:24+08:00,1,2025-11-23T23:46:03+08:00
2025-11-23T23:46:48.126915+08:00,B34F59A0270AEDA4,272A,O,2025-11-24T00:14:38+08:00,2,2025-11-23T23:46:03+08:00
2025-11-23T23:46:48.126915+08:00,B34F59A0270AEDA4,272A,O,2025-11-24T00:34:38+08:00,3,2025-11-23T23:46:03+08:00
2025-11-23T23:46:48.126915+08:00,B34F59A0270AEDA4,272A,O,2025-11-23T23:56:24+08:00,1,2025-11-23T23:46:03+08:00
2025-11-23T23:46:48.126915+08:00,B34F59A0270AEDA4,272A,O,2025-11-24T00:14:38+08:00,2,2025-11-23T23:46:03+08:00
2025-11-23T23:46:48.126915+08:00,B34F59A0270AEDA4,272A,O,2025-11-24T00:34:38+08:00,3,2025-11-23T23:46:03+08:00
2025-11-23T23:47:18.223142+08:00,3F24CFF9046300D9,272A,O,2025-11-23T23:55:03+08:00,1,2025-11-23T23:47:03+08:00
2025-11-23T23:47:18.223142+08:00,3F24CFF9046300D9,272A,O,2025-11-24T00:14:02+08:00,2,2025-11-23T23:47:03+08:00
2025-11-23T23:47:18.223142+08:00,3F24CFF9046300D9,272A,O,2025-11-24T00:34:02+08:00,3,2025-11-23T23:47:03+08:00
2025-11-23T23:47:18.223142+08:00,3F24CFF9046300D9,272A,O,2025-11-23T23:55:03+08:00,1,2025-11-23T23:47:03+08:00
2025-11-23T23:47:18.223142+08:00,3F24CFF9046300D9,272A,O,2025-11-24T00:14:02+08:00,2,2025-11-23T23:47:03+08:00
2025-11-23T23:47:18.223142+08:00,3F24CFF9046300D9,272A,O,2025-11-24T00:34:02+08:00,3,2025-11-23T23:47:03+08:00
2025-11-23T23:47:18.223142+08:00,3F24CFF9046300D9,272A,O,2025-11-23T23:55:03+08:00,1,2025-11-23T23:47:03+08:00
2025-11-23T23:47:18.223142+08:00,3F24CFF9046300D9,272A,O,2025-11-24T00:14:02+08:00,2,2025-11-23T23:47:03+08:00
2025-11-23T23:47:18.223142+08:00,3F24CFF9046300D9,272A,O,2025-11-24T00:34:02+08:00,3,2025-11-23T23:47:03+08:00
2025-11-23T23:47:18.223142+08:00,B34F59A0270AEDA4,272A,O,2025-11-23T23:55:47+08:00,1,2025-11-23T23:47:03+08:00
2025-11-23T23:47:18.223142+08:00,B34F59A0270AEDA4,272A,O,2025-11-24T00:14:38+08:00,2,2025-11-23T23:47:03+08:00
2025-11-23T23:47:18.223142+08:00,B34F59A0270AEDA4,272A,O,2025-11-24T00:34:38+08:00,3,2025-11-23T23:47:03+08:00
2025-11-23T23:47:18.223142+08:00,B34F59A0270AEDA4,272A,O,2025-11-23T23:55:47+08:00,1,2025-11-23T23:47:03+08:00
