snapshot_ts,queried_stop_id,route,direction,eta,eta_seq,data_timestamp
2025-10-31T05:20:43.449093+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:29:47+08:00,1,2025-10-31T13:20:16+08:00
2025-10-31T05:20:43.449093+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:41:32+08:00,2,2025-10-31T13:20:16+08:00
2025-10-31T05:20:43.449093+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:53:32+08:00,3,2025-10-31T13:20:16+08:00
2025-10-31T05:20:43.449093+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:29:47+08:00,1,2025-10-31T13:20:16+08:00
2025-10-31T05:20:43.449093+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:41:32+08:00,2,2025-10-31T13:20:16+08:00
2025-10-31T05:20:43.449093+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:53:32+08:00,3,2025-10-31T13:20:16+08:00
2025-10-31T05:20:43.449093+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:29:47+08:00,1,2025-10-31T13:20:16+08:00
2025-10-31T05:20:43.449093+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:41:32+08:00,2,2025-10-31T13:20:16+08:00
2025-10-31T05:20:43.449093+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:53:32+08:00,3,2025-10-31T13:20:16+08:00
2025-10-31T05:20:43.449093+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:31:09+08:00,2,2025-10-31T13:20:16+08:00
2025-10-31T05:20:43.449093+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:42:50+08:00,3,2025-10-31T13:20:16+08:00
2025-10-31T05:20:43.449093+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:31:09+08:00,2,2025-10-31T13:20:16+08:00
2025-10-31T05:20:43.449093+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:42:50+08:00,3,2025-10-31T13:20:16+08:00
2025-10-31T05:20:43.449093+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:31:09+08:00,2,2025-10-31T13:20:16+08:00
2025-10-31T05:20:43.449093+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:42:50+08:00,3,2025-10-31T13:20:16+08:00
2025-10-31T05:21:13.625628+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:29:47+08:00,1,2025-10-31T13:20:16+08:00
2025-10-31T05:21:13.625628+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:41:32+08:00,2,2025-10-31T13:20:16+08:00
2025-10-31T05:21:13.625628+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:53:32+08:00,3,2025-10-31T13:20:16+08:00
2025-10-31T05:21:13.625628+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:29:47+08:00,1,2025-10-31T13:20:16+08:00
2025-10-31T05:21:13.625628+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:41:32+08:00,2,2025-10-31T13:20:16+08:00
2025-10-31T05:21:13.625628+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:53:32+08:00,3,2025-10-31T13:20:16+08:00
2025-10-31T05:21:13.625628+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:29:47+08:00,1,2025-10-31T13:20:16+08:00
2025-10-31T05:21:13.625628+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:41:32+08:00,2,2025-10-31T13:20:16+08:00
2025-10-31T05:21:13.625628+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:53:32+08:00,3,2025-10-31T13:20:16+08:00
2025-10-31T05:21:13.625628+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:31:09+08:00,2,2025-10-31T13:20:16+08:00
2025-10-31T05:21:13.625628+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:42:50+08:00,3,2025-10-31T13:20:16+08:00
2025-10-31T05:21:13.625628+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:31:09+08:00,2,2025-10-31T13:20:16+08:00
2025-10-31T05:21:13.625628+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:42:50+08:00,3,2025-10-31T13:20:16+08:00
2025-10-31T05:21:13.625628+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:31:09+08:00,2,2025-10-31T13:20:16+08:00
2025-10-31T05:21:13.625628+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:42:50+08:00,3,2025-10-31T13:20:16+08:00
2025-10-31T05:21:43.695123+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:30:15+08:00,1,2025-10-31T13:21:15+08:00
2025-10-31T05:21:43.695123+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:41:32+08:00,2,2025-10-31T13:21:15+08:00
2025-10-31T05:21:43.695123+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:53:32+08:00,3,2025-10-31T13:21:15+08:00
2025-10-31T05:21:43.695123+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:30:15+08:00,1,2025-10-31T13:21:15+08:00
2025-10-31T05:21:43.695123+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:41:32+08:00,2,2025-10-31T13:21:15+08:00
2025-10-31T05:21:43.695123+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:53:32+08:00,3,2025-10-31T13:21:15+08:00
2025-10-31T05:21:43.695123+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:30:15+08:00,1,2025-10-31T13:21:15+08:00
2025-10-31T05:21:43.695123+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:41:32+08:00,2,2025-10-31T13:21:15+08:00
2025-10-31T05:21:43.695123+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:53:32+08:00,3,2025-10-31T13:21:15+08:00
2025-10-31T05:21:43.695123+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:31:37+08:00,1,2025-10-31T13:21:15+08:00
2025-10-31T05:21:43.695123+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:42:50+08:00,2,2025-10-31T13:21:15+08:00
2025-10-31T05:21:43.695123+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:54:50+08:00,3,2025-10-31T13:21:15+08:00
2025-10-31T05:21:43.695123+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:31:37+08:00,1,2025-10-31T13:21:15+08:00
2025-10-31T05:21:43.695123+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:42:50+08:00,2,2025-10-31T13:21:15+08:00
2025-10-31T05:21:43.695123+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:54:50+08:00,3,2025-10-31T13:21:15+08:00
2025-10-31T05:21:43.695123+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:31:37+08:00,1,2025-10-31T13:21:15+08:00
2025-10-31T05:21:43.695123+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:42:50+08:00,2,2025-10-31T13:21:15+08:00
2025-10-31T05:21:43.695123+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:54:50+08:00,3,2025-10-31T13:21:15+08:00
2025-10-31T05:22:13.848092+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:30:15+08:00,1,2025-10-31T13:21:15+08:00
2025-10-31T05:22:13.848092+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:41:32+08:00,2,2025-10-31T13:21:15+08:00
2025-10-31T05:22:13.848092+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:53:32+08:00,3,2025-10-31T13:21:15+08:00
2025-10-31T05:22:13.848092+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:30:15+08:00,1,2025-10-31T13:21:15+08:00
2025-10-31T05:22:13.848092+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:41:32+08:00,2,2025-10-31T13:21:15+08:00
2025-10-31T05:22:13.848092+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:53:32+08:00,3,2025-10-31T13:21:15+08:00
2025-10-31T05:22:13.848092+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:30:15+08:00,1,2025-10-31T13:21:15+08:00
2025-10-31T05:22:13.848092+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:41:32+08:00,2,2025-10-31T13:21:15+08:00
2025-10-31T05:22:13.848092+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:53:32+08:00,3,2025-10-31T13:21:15+08:00
2025-10-31T05:22:13.848092+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:31:22+08:00,1,2025-10-31T13:21:46+08:00
2025-10-31T05:22:13.848092+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:42:50+08:00,2,2025-10-31T13:21:46+08:00
2025-10-31T05:22:13.848092+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:54:50+08:00,3,2025-10-31T13:21:46+08:00
2025-10-31T05:22:13.848092+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:31:22+08:00,1,2025-10-31T13:21:46+08:00
2025-10-31T05:22:13.848092+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:42:50+08:00,2,2025-10-31T13:21:46+08:00
2025-10-31T05:22:13.848092+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:54:50+08:00,3,2025-10-31T13:21:46+08:00
2025-10-31T05:22:13.848092+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:31:22+08:00,1,2025-10-31T13:21:46+08:00
2025-10-31T05:22:13.848092+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:42:50+08:00,2,2025-10-31T13:21:46+08:00
2025-10-31T05:22:13.848092+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:54:50+08:00,3,2025-10-31T13:21:46+08:00
2025-10-31T05:22:43.966774+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:29:47+08:00,1,2025-10-31T13:22:15+08:00
2025-10-31T05:22:43.966774+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:41:32+08:00,2,2025-10-31T13:22:15+08:00
2025-10-31T05:22:43.966774+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:53:32+08:00,3,2025-10-31T13:22:15+08:00
2025-10-31T05:22:43.966774+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:29:47+08:00,1,2025-10-31T13:22:15+08:00
2025-10-31T05:22:43.966774+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:41:32+08:00,2,2025-10-31T13:22:15+08:00
2025-10-31T05:22:43.966774+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:53:32+08:00,3,2025-10-31T13:22:15+08:00
2025-10-31T05:22:43.966774+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:29:47+08:00,1,2025-10-31T13:22:15+08:00
2025-10-31T05:22:43.966774+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:41:32+08:00,2,2025-10-31T13:22:15+08:00
2025-10-31T05:22:43.966774+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:53:32+08:00,3,2025-10-31T13:22:15+08:00
2025-10-31T05:22:43.966774+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:31:22+08:00,1,2025-10-31T13:21:46+08:00
2025-10-31T05:22:43.966774+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:42:50+08:00,2,2025-10-31T13:21:46+08:00
2025-10-31T05:22:43.966774+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:54:50+08:00,3,2025-10-31T13:21:46+08:00
2025-10-31T05:22:43.966774+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:31:22+08:00,1,2025-10-31T13:21:46+08:00
2025-10-31T05:22:43.966774+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:42:50+08:00,2,2025-10-31T13:21:46+08:00
2025-10-31T05:22:43.966774+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:54:50+08:00,3,2025-10-31T13:21:46+08:00
2025-10-31T05:22:43.966774+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:31:22+08:00,1,2025-10-31T13:21:46+08:00
2025-10-31T05:22:43.966774+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:42:50+08:00,2,2025-10-31T13:21:46+08:00
2025-10-31T05:22:43.966774+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:54:50+08:00,3,2025-10-31T13:21:46+08:00
2025-10-31T05:23:14.078734+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:29:47+08:00,1,2025-10-31T13:22:15+08:00
2025-10-31T05:23:14.078734+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:41:32+08:00,2,2025-10-31T13:22:15+08:00
2025-10-31T05:23:14.078734+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:53:32+08:00,3,2025-10-31T13:22:15+08:00
2025-10-31T05:23:14.078734+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:29:47+08:00,1,2025-10-31T13:22:15+08:00
2025-10-31T05:23:14.078734+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:41:32+08:00,2,2025-10-31T13:22:15+08:00
2025-10-31T05:23:14.078734+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:53:32+08:00,3,2025-10-31T13:22:15+08:00
2025-10-31T05:23:14.078734+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:29:47+08:00,1,2025-10-31T13:22:15+08:00
2025-10-31T05:23:14.078734+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:41:32+08:00,2,2025-10-31T13:22:15+08:00
2025-10-31T05:23:14.078734+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:53:32+08:00,3,2025-10-31T13:22:15+08:00
2025-10-31T05:23:14.078734+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:31:06+08:00,1,2025-10-31T13:22:46+08:00
2025-10-31T05:23:14.078734+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:42:50+08:00,2,2025-10-31T13:22:46+08:00
2025-10-31T05:23:14.078734+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:54:50+08:00,3,2025-10-31T13:22:46+08:00
2025-10-31T05:23:14.078734+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:31:06+08:00,1,2025-10-31T13:22:46+08:00
2025-10-31T05:23:14.078734+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:42:50+08:00,2,2025-10-31T13:22:46+08:00
2025-10-31T05:23:14.078734+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:54:50+08:00,3,2025-10-31T13:22:46+08:00
2025-10-31T05:23:14.078734+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:31:06+08:00,1,2025-10-31T13:22:46+08:00
2025-10-31T05:23:14.078734+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:42:50+08:00,2,2025-10-31T13:22:46+08:00
2025-10-31T05:23:14.078734+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:54:50+08:00,3,2025-10-31T13:22:46+08:00
2025-10-31T05:23:44.201470+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:30:14+08:00,1,2025-10-31T13:23:15+08:00
2025-10-31T05:23:44.201470+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:41:32+08:00,2,2025-10-31T13:23:15+08:00
2025-10-31T05:23:44.201470+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:53:32+08:00,3,2025-10-31T13:23:15+08:00
2025-10-31T05:23:44.201470+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:30:14+08:00,1,2025-10-31T13:23:15+08:00
2025-10-31T05:23:44.201470+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:41:32+08:00,2,2025-10-31T13:23:15+08:00
2025-10-31T05:23:44.201470+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:53:32+08:00,3,2025-10-31T13:23:15+08:00
2025-10-31T05:23:44.201470+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:30:14+08:00,1,2025-10-31T13:23:15+08:00
2025-10-31T05:23:44.201470+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:41:32+08:00,2,2025-10-31T13:23:15+08:00
2025-10-31T05:23:44.201470+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:53:32+08:00,3,2025-10-31T13:23:15+08:00
2025-10-31T05:23:44.201470+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:31:06+08:00,1,2025-10-31T13:22:46+08:00
2025-10-31T05:23:44.201470+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:42:50+08:00,2,2025-10-31T13:22:46+08:00
2025-10-31T05:23:44.201470+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:54:50+08:00,3,2025-10-31T13:22:46+08:00
2025-10-31T05:23:44.201470+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:31:06+08:00,1,2025-10-31T13:22:46+08:00
2025-10-31T05:23:44.201470+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:42:50+08:00,2,2025-10-31T13:22:46+08:00
2025-10-31T05:23:44.201470+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:54:50+08:00,3,2025-10-31T13:22:46+08:00
2025-10-31T05:23:44.201470+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:31:06+08:00,1,2025-10-31T13:22:46+08:00
2025-10-31T05:23:44.201470+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:42:50+08:00,2,2025-10-31T13:22:46+08:00
2025-10-31T05:23:44.201470+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:54:50+08:00,3,2025-10-31T13:22:46+08:00
2025-10-31T05:24:14.313242+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:30:14+08:00,1,2025-10-31T13:23:15+08:00
2025-10-31T05:24:14.313242+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:41:32+08:00,2,2025-10-31T13:23:15+08:00
2025-10-31T05:24:14.313242+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:53:32+08:00,3,2025-10-31T13:23:15+08:00
2025-10-31T05:24:14.313242+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:30:14+08:00,1,2025-10-31T13:23:15+08:00
2025-10-31T05:24:14.313242+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:41:32+08:00,2,2025-10-31T13:23:15+08:00
2025-10-31T05:24:14.313242+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:53:32+08:00,3,2025-10-31T13:23:15+08:00
2025-10-31T05:24:14.313242+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:30:14+08:00,1,2025-10-31T13:23:15+08:00
2025-10-31T05:24:14.313242+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:41:32+08:00,2,2025-10-31T13:23:15+08:00
2025-10-31T05:24:14.313242+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:53:32+08:00,3,2025-10-31T13:23:15+08:00
2025-10-31T05:24:14.313242+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:31:06+08:00,1,2025-10-31T13:22:46+08:00
2025-10-31T05:24:14.313242+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:42:50+08:00,2,2025-10-31T13:22:46+08:00
2025-10-31T05:24:14.313242+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:54:50+08:00,3,2025-10-31T13:22:46+08:00
2025-10-31T05:24:14.313242+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:31:06+08:00,1,2025-10-31T13:22:46+08:00
2025-10-31T05:24:14.313242+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:42:50+08:00,2,2025-10-31T13:22:46+08:00
2025-10-31T05:24:14.313242+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:54:50+08:00,3,2025-10-31T13:22:46+08:00
2025-10-31T05:24:14.313242+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:31:06+08:00,1,2025-10-31T13:22:46+08:00
2025-10-31T05:24:14.313242+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:42:50+08:00,2,2025-10-31T13:22:46+08:00
2025-10-31T05:24:14.313242+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:54:50+08:00,3,2025-10-31T13:22:46+08:00
2025-10-31T05:24:44.382744+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:30:00+08:00,1,2025-10-31T13:24:16+08:00
2025-10-31T05:24:44.382744+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:41:32+08:00,2,2025-10-31T13:24:16+08:00
2025-10-31T05:24:44.382744+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:53:32+08:00,3,2025-10-31T13:24:16+08:00
2025-10-31T05:24:44.382744+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:30:00+08:00,1,2025-10-31T13:24:16+08:00
2025-10-31T05:24:44.382744+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:41:32+08:00,2,2025-10-31T13:24:16+08:00
2025-10-31T05:24:44.382744+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:53:32+08:00,3,2025-10-31T13:24:16+08:00
2025-10-31T05:24:44.382744+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:30:00+08:00,1,2025-10-31T13:24:16+08:00
2025-10-31T05:24:44.382744+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:41:32+08:00,2,2025-10-31T13:24:16+08:00
2025-10-31T05:24:44.382744+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:53:32+08:00,3,2025-10-31T13:24:16+08:00
2025-10-31T05:24:44.382744+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:31:22+08:00,1,2025-10-31T13:24:16+08:00
2025-10-31T05:24:44.382744+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:42:50+08:00,2,2025-10-31T13:24:16+08:00
2025-10-31T05:24:44.382744+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:54:50+08:00,3,2025-10-31T13:24:16+08:00
2025-10-31T05:24:44.382744+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:31:22+08:00,1,2025-10-31T13:24:16+08:00
2025-10-31T05:24:44.382744+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:42:50+08:00,2,2025-10-31T13:24:16+08:00
2025-10-31T05:24:44.382744+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:54:50+08:00,3,2025-10-31T13:24:16+08:00
2025-10-31T05:24:44.382744+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:31:22+08:00,1,2025-10-31T13:24:16+08:00
2025-10-31T05:24:44.382744+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:42:50+08:00,2,2025-10-31T13:24:16+08:00
2025-10-31T05:24:44.382744+00:00,B34F59A0270AEDA4,272A,O,2025-10-31T13:54:50+08:00,3,2025-10-31T13:24:16+08:00
2025-10-31T05:25:14.568195+00:00,3F24CFF9046300D9,272A,O,2025-10-31T13:30:00+08:00,1,2025-10-31T13:24:16+08:00
