simulation,routes,avg_waiting_time,avg_queue_time
1,['272X'],1821.2932947121396,0.0
2,['272X'],1327.6404082217773,0.0
3,['272X'],574.106504657305,0.0
4,['272X'],789.4725983447294,0.0
5,['272X'],1917.9087438011193,0.0
6,['272X'],0.0,0.0
7,['272X'],920.4745916610354,0.0
8,['272X'],1520.9985099980677,0.0
9,['272X'],960.8294539817052,0.0
10,['272X'],519.2645984934579,0.0
11,['272X'],2838.477680396929,0.0
12,['272X'],729.3932545684659,66.79980035297721
13,['272X'],0.0,0.0
14,['272X'],2398.34723181787,0.0
15,['272X'],989.8110601097165,0.0
16,['272X'],1771.9174045580103,0.0
17,['272X'],2112.3276196384695,0.0
18,['272X'],1139.59103688842,0.0
19,['272X'],3124.304264577772,0.0
20,['272X'],2123.0724475755064,0.0
21,['272X'],1194.592407063245,0.0
22,['272X'],719.8756491218338,0.0
23,['272X'],1011.1444342233767,0.0
24,['272X'],1671.2138210617209,0.0
25,['272X'],1151.5677386310163,53.40786277060139
26,['272X'],1073.7181786595681,0.0
27,['272X'],1613.8272373739405,0.0
28,['272X'],852.1169999307749,0.0
29,['272X'],952.0342189003911,54.626375695613206
30,['272X'],1065.576590128013,0.0
31,['272X'],2645.686714510217,0.0
32,['272X'],1238.4979235632345,0.0
33,['272X'],2364.0196287981244,0.0
34,['272X'],868.4157147996158,94.7818051816447
35,['272X'],994.4344245994204,0.0
36,['272X'],1126.4536892957556,0.0
37,['272X'],1278.457302945207,0.0
38,['272X'],1976.9480257535997,0.0
39,['272X'],1276.6786957061609,0.0
40,['272X'],0.0,0.0
41,['272X'],0.0,0.0
42,['272X'],1029.265669195943,0.0
43,['272X'],998.8437428716604,0.0
44,['272X'],2034.143810663461,0.0
45,['272X'],1311.2632726585791,0.0
46,['272X'],1938.0392108160636,0.0
47,['272X'],924.303918007744,0.0
48,['272X'],0.0,0.0
49,['272X'],1577.3643480489661,0.0
50,['272X'],0.0,0.0
51,['272X'],1344.5102910397914,0.0
52,['272X'],1100.4547503317342,0.0
53,['272X'],1036.4360822627302,0.0
54,['272X'],801.2433952870434,0.0
55,['272X'],880.0042401074282,23.659339901070826
56,['272X'],718.6329147981189,130.79304883655257
57,['272X'],2252.049468649502,0.0
58,['272X'],1114.6051934704813,0.0
59,['272X'],826.9396820022241,0.0
60,['272X'],1409.5870169150671,0.0
61,['272X'],1461.3997117747147,0.0
62,['272X'],1951.641306268889,0.0
63,['272X'],2879.173687300994,30.164451291182104
64,['272X'],1159.8571401921517,61.67098122583411
65,['272X'],2747.2962343232007,0.0
66,['272X'],854.5339058110918,0.0
67,['272X'],3167.3615886308803,0.0
68,['272X'],1328.7430727714523,0.0
69,['272X'],748.0343641870721,133.42061192354663
70,['272X'],1266.2757150326165,0.0
71,['272X'],2008.1620582653356,0.0
72,['272X'],3017.5625597002504,0.0
73,['272X'],1360.8695543361275,0.0
74,['272X'],1344.3571272667236,0.0
75,['272X'],532.8174970245913,0.0
76,['272X'],751.174797289137,0.0
77,['272X'],729.1657632023018,0.0
78,['272X'],269.7343899592843,0.0
79,['272X'],1129.550877509624,0.0
80,['272X'],1704.7730272527785,0.0
81,['272X'],714.9634434859129,0.0
82,['272X'],962.8455272135708,0.0
83,['272X'],716.7583771613188,0.0
84,['272X'],1697.7852002981178,0.0
85,['272X'],1493.2730671306113,0.0
86,['272X'],2778.76376182416,0.0
87,['272X'],1000.0290330200386,0.0
88,['272X'],478.20347350214325,0.0
89,['272X'],846.2660849231055,70.27131214810333
90,['272X'],983.552404799104,0.0
91,['272X'],881.0428360644866,21.39402824188562
92,['272X'],2277.4841982793623,0.0
93,['272X'],1367.2981910128656,0.0
94,['272X'],2385.0676473304293,0.0
95,['272X'],1257.0961831497204,0.0
96,['272X'],1515.2400570588986,0.0
97,['272X'],1291.2661928733994,0.0
98,['272X'],1148.2973736797403,0.0
99,['272X'],820.0697273734247,0.0
100,['272X'],924.701893672297,0.0
