stop_id,route,eta,snapshot_ts,co,dir,service_type,seq,dest_tc,dest_sc,dest_en,eta_seq,rmk_tc,rmk_sc,rmk_en
023E9E5A9E073E1A,272X,2025-11-14 16:57:41+08:00,2025-11-14T16:36:17+08:00,KMB,O,1,9,旺角東站,旺角东站,MONG KOK EAST STATION,1,原定班次,原定班次,Scheduled Bus
023E9E5A9E073E1A,272X,2025-11-14 17:28:12+08:00,2025-11-14T16:36:17+08:00,KMB,O,1,9,旺角東站,旺角东站,MONG KOK EAST STATION,2,原定班次,原定班次,Scheduled Bus
3A7AC3A5F9530786,74D,2025-11-14 16:59:00+08:00,2025-11-14T16:36:17+08:00,KMB,O,1,19,觀塘碼頭,观塘码头,KWUN TONG FERRY,1,,,
3A7AC3A5F9530786,74D,2025-11-14 17:29:38+08:00,2025-11-14T16:36:17+08:00,KMB,O,1,19,觀塘碼頭,观塘码头,KWUN TONG FERRY,2,原定班次,原定班次,Scheduled Bus
B34F59A0270AEDA4,272A,2025-11-14 16:39:01+08:00,2025-11-14T16:36:17+08:00,KMB,O,1,12,白石角(循環線),白石角(循环线),PAK SHEK KOK (CIRCULAR),1,,,
B34F59A0270AEDA4,272A,2025-11-14 16:39:01+08:00,2025-11-14T16:36:17+08:00,KMB,O,3,5,大學站,大学站,UNIVERSITY STATION,1,,,
B34F59A0270AEDA4,272A,2025-11-14 16:39:01+08:00,2025-11-14T16:36:17+08:00,KMB,O,4,12,白石角(循環線),白石角(循环线),PAK SHEK KOK (CIRCULAR),1,,,
B34F59A0270AEDA4,272A,2025-11-14 16:42:16+08:00,2025-11-14T16:36:17+08:00,KMB,O,1,12,白石角(循環線),白石角(循环线),PAK SHEK KOK (CIRCULAR),2,,,
B34F59A0270AEDA4,272A,2025-11-14 16:42:16+08:00,2025-11-14T16:36:17+08:00,KMB,O,3,5,大學站,大学站,UNIVERSITY STATION,2,,,
B34F59A0270AEDA4,272A,2025-11-14 16:42:16+08:00,2025-11-14T16:36:17+08:00,KMB,O,4,12,白石角(循環線),白石角(循环线),PAK SHEK KOK (CIRCULAR),2,,,
B34F59A0270AEDA4,272A,2025-11-14 16:55:58+08:00,2025-11-14T16:36:17+08:00,KMB,O,1,12,白石角(循環線),白石角(循环线),PAK SHEK KOK (CIRCULAR),3,原定班次,原定班次,Scheduled Bus
B34F59A0270AEDA4,272A,2025-11-14 16:55:58+08:00,2025-11-14T16:36:17+08:00,KMB,O,3,5,大學站,大学站,UNIVERSITY STATION,3,原定班次,原定班次,Scheduled Bus
B34F59A0270AEDA4,272A,2025-11-14 16:55:58+08:00,2025-11-14T16:36:17+08:00,KMB,O,4,12,白石角(循環線),白石角(循环线),PAK SHEK KOK (CIRCULAR),3,原定班次,原定班次,Scheduled Bus
B34F59A0270AEDA4,274P,2025-11-14 17:27:46+08:00,2025-11-14T16:36:17+08:00,KMB,I,1,17,烏溪沙站,乌溪沙站,WU KAI SHA STATION,1,原定班次,原定班次,Scheduled Bus
