stop_id,route,eta,snapshot_ts,co,dir,service_type,seq,dest_tc,dest_sc,dest_en,eta_seq,rmk_tc,rmk_sc,rmk_en
023E9E5A9E073E1A,272P,2025-11-17 08:10:34+08:00,2025-11-17T08:11:50+08:00,KMB,O,1,12,葵興站,葵兴站,KWAI HING STATION,1,,,
023E9E5A9E073E1A,272P,2025-11-17 08:10:34+08:00,2025-11-17T08:11:50+08:00,KMB,O,2,12,葵興站,葵兴站,KWAI HING STATION,1,,,
023E9E5A9E073E1A,900,2025-11-17 08:16:02+08:00,2025-11-17T08:11:50+08:00,KMB,O,1,4,灣仔(會展),湾仔(会展),WAN CHAI (HKCEC),1,,,
023E9E5A9E073E1A,272P,2025-11-17 08:16:46+08:00,2025-11-17T08:11:50+08:00,KMB,O,1,12,葵興站,葵兴站,KWAI HING STATION,2,,,
023E9E5A9E073E1A,272P,2025-11-17 08:16:46+08:00,2025-11-17T08:11:50+08:00,KMB,O,2,12,葵興站,葵兴站,KWAI HING STATION,2,,,
023E9E5A9E073E1A,272X,2025-11-17 08:20:16+08:00,2025-11-17T08:11:50+08:00,KMB,O,1,9,旺角東站,旺角东站,MONG KOK EAST STATION,1,,,
023E9E5A9E073E1A,73D,2025-11-17 08:21:42+08:00,2025-11-17T08:11:50+08:00,KMB,I,1,6,荃灣(如心廣場),荃湾(如心广场),TSUEN WAN (NINA TOWER),1,最後班次,最后班次,Final Bus
023E9E5A9E073E1A,272X,2025-11-17 08:35:36+08:00,2025-11-17T08:11:50+08:00,KMB,O,1,9,旺角東站,旺角东站,MONG KOK EAST STATION,2,原定班次,原定班次,Scheduled Bus
023E9E5A9E073E1A,900,2025-11-17 08:36:14+08:00,2025-11-17T08:11:50+08:00,KMB,O,1,4,灣仔(會展),湾仔(会展),WAN CHAI (HKCEC),2,原定班次,原定班次,Scheduled Bus
023E9E5A9E073E1A,272X,2025-11-17 09:00:36+08:00,2025-11-17T08:11:50+08:00,KMB,O,1,9,旺角東站,旺角东站,MONG KOK EAST STATION,3,原定班次,原定班次,Scheduled Bus
