simulation,routes,avg_waiting_time,avg_queue_time
1,['272A'],139.65244151495725,8.22309872133673
2,['272A'],152.75504949132286,11.936624557884395
3,['272A'],114.63571054255334,2.8751548489040912
4,['272A'],124.54115901785964,6.792467527743454
5,['272A'],143.7258351593387,6.080367950393284
6,['272A'],178.63477670608503,4.798390120051605
7,['272A'],200.47693096585942,9.176236540287926
8,['272A'],143.2837536305956,7.0758642560040474
9,['272A'],175.7053792033189,5.951464052325025
10,['272A'],159.78149905658452,10.606885191531084
11,['272A'],174.96443018215643,11.392247305011603
12,['272A'],192.31862022989847,5.385957959515742
13,['272A'],173.53092753761197,2.281540280686386
14,['272A'],266.52004482966805,4.150445521643738
15,['272A'],117.06899449514556,2.2673474036938708
16,['272A'],144.07895598014457,10.799317030508801
17,['272A'],135.09016035534725,6.051906054965356
18,['272A'],169.40349591429606,8.982203231639598
19,['272A'],181.47784682003203,5.424695430987942
20,['272A'],192.8802188153598,2.305046042157461
21,['272A'],154.69197669268362,27.656204972063648
22,['272A'],154.6729840621164,12.476414418074127
23,['272A'],184.08612681660878,7.2376995273377664
24,['272A'],136.99843448069885,5.235403499699236
25,['272A'],198.0812533609891,11.651891190578077
26,['272A'],143.81442331008176,6.272175187305263
27,['272A'],216.398852983891,10.493251852450163
28,['272A'],152.18518038678977,5.122558361905683
29,['272A'],124.97216599453489,2.853951082662995
30,['272A'],118.05040048213878,5.580034272321809
31,['272A'],192.3007670858424,20.804233785233034
32,['272A'],194.54644643725965,13.574734176440714
33,['272A'],132.66489185266462,12.967542209402527
34,['272A'],132.335970554496,4.044719344600337
35,['272A'],185.75842422158507,5.273984214686827
36,['272A'],117.17848488654133,4.087394954818854
37,['272A'],109.37146513531991,6.190817419683477
38,['272A'],157.33754113291317,9.084014976910236
39,['272A'],150.62701597093513,15.062301465541472
40,['272A'],144.6339987353037,5.01516571982034
41,['272A'],168.13744195297318,5.497811565661558
42,['272A'],138.3924852142524,7.9248234257159
43,['272A'],121.26264537761513,1.8692320242673273
44,['272A'],247.91589672434085,8.781850836612387
45,['272A'],148.82329066796757,4.8769260480434555
46,['272A'],179.8933845241464,6.483353425239716
47,['272A'],173.8934959452007,23.9844630394288
48,['272A'],164.3919165183986,12.909076263352906
49,['272A'],134.54552307107866,6.292944396229765
50,['272A'],127.72395831344286,5.361299539642114
51,['272A'],184.07899322860175,1.092897681992909
52,['272A'],153.29386058441634,10.983612029031775
53,['272A'],151.74751094976014,3.8688669957699755
54,['272A'],177.931436766724,9.272247532276282
55,['272A'],168.3678297982492,13.220711536642055
56,['272A'],186.8882018747949,1.6533300045916657
57,['272A'],130.76461653594248,8.79388761807166
58,['272A'],165.8530959021734,6.907036447640814
59,['272A'],147.30379320238464,17.817510269608587
60,['272A'],144.52296408072607,7.513876581297163
61,['272A'],173.4594764112359,6.963390796453391
62,['272A'],134.4683796609531,6.520763315521972
63,['272A'],149.91609123826677,3.032687409453878
64,['272A'],243.18478555886415,20.685805304818626
65,['272A'],142.5446854430411,5.147538656921256
66,['272A'],174.70167436907494,5.116834877159405
67,['272A'],180.5891981258125,20.414743564909568
68,['272A'],157.16379625547805,6.4275489598824285
69,['272A'],169.54318562137354,6.132920687453923
70,['272A'],169.7937419010677,13.021934641076701
71,['272A'],166.50276413619298,4.005416667349736
72,['272A'],156.8022680922852,11.86099206928111
73,['272A'],140.79979131844578,3.2793553705264196
74,['272A'],206.61172773302312,12.740380066283855
75,['272A'],174.49905894111933,1.7186823968163825
76,['272A'],224.98641040642792,21.548279979911293
77,['272A'],127.93184219631365,3.6010597731327283
78,['272A'],162.57693241878658,12.448394041414907
79,['272A'],197.64696207504525,19.354593282117722
80,['272A'],193.21466402686443,10.182757044546909
81,['272A'],125.86605311850988,13.375173320432387
82,['272A'],118.07589370953151,12.016344394058926
83,['272A'],152.48286153552664,40.12201962929761
84,['272A'],250.89098802648581,5.464323523412057
85,['272A'],193.96855341269733,2.723304758932821
86,['272A'],162.4651706502336,5.557473330103979
87,['272A'],174.0179071569689,12.330976790476196
88,['272A'],182.9028197161921,6.090824425887315
89,['272A'],189.50813891159626,6.258156616259727
90,['272A'],138.69591322782935,2.404839013880324
91,['272A'],149.8807893638347,2.291821466799403
92,['272A'],145.21159563750393,9.919609552928387
93,['272A'],204.95021170553187,5.89520616537076
94,['272A'],128.4667662652219,8.207898501385396
95,['272A'],248.91350284765153,8.286469846434024
96,['272A'],201.76803880689238,8.37033126110909
97,['272A'],179.3459521390304,18.781935711614146
98,['272A'],233.05273927100566,3.012211485064657
99,['272A'],131.9520687835028,15.417774869654497
100,['272A'],176.21719561670398,9.200800625476042
