snapshot_ts,route,3F24CFF9046300D9,B34F59A0270AEDA4,eta_A,eta_B,delta_s
2025-10-31 05:20:43.449093+00:00,272A,2025-10-31 13:29:47+08:00,2025-10-31 13:31:09+08:00,2025-10-31 13:29:47+08:00,2025-10-31 13:31:09+08:00,82.0
2025-10-31 05:21:13.625628+00:00,272A,2025-10-31 13:29:47+08:00,2025-10-31 13:31:09+08:00,2025-10-31 13:29:47+08:00,2025-10-31 13:31:09+08:00,82.0
2025-10-31 05:21:43.695123+00:00,272A,2025-10-31 13:30:15+08:00,2025-10-31 13:31:37+08:00,2025-10-31 13:30:15+08:00,2025-10-31 13:31:37+08:00,82.0
2025-10-31 05:22:13.848092+00:00,272A,2025-10-31 13:30:15+08:00,2025-10-31 13:31:22+08:00,2025-10-31 13:30:15+08:00,2025-10-31 13:31:22+08:00,67.0
2025-10-31 05:22:43.966774+00:00,272A,2025-10-31 13:29:47+08:00,2025-10-31 13:31:22+08:00,2025-10-31 13:29:47+08:00,2025-10-31 13:31:22+08:00,95.0
2025-10-31 05:23:14.078734+00:00,272A,2025-10-31 13:29:47+08:00,2025-10-31 13:31:06+08:00,2025-10-31 13:29:47+08:00,2025-10-31 13:31:06+08:00,79.0
2025-10-31 05:23:44.201470+00:00,272A,2025-10-31 13:30:14+08:00,2025-10-31 13:31:06+08:00,2025-10-31 13:30:14+08:00,2025-10-31 13:31:06+08:00,52.0
2025-10-31 05:24:14.313242+00:00,272A,2025-10-31 13:30:14+08:00,2025-10-31 13:31:06+08:00,2025-10-31 13:30:14+08:00,2025-10-31 13:31:06+08:00,52.0
2025-10-31 05:24:44.382744+00:00,272A,2025-10-31 13:30:00+08:00,2025-10-31 13:31:22+08:00,2025-10-31 13:30:00+08:00,2025-10-31 13:31:22+08:00,82.0
2025-10-31 05:25:14.568195+00:00,272A,2025-10-31 13:30:00+08:00,2025-10-31 13:31:22+08:00,2025-10-31 13:30:00+08:00,2025-10-31 13:31:22+08:00,82.0
2025-10-31 05:25:44.650227+00:00,272A,2025-10-31 13:30:00+08:00,2025-10-31 13:31:22+08:00,2025-10-31 13:30:00+08:00,2025-10-31 13:31:22+08:00,82.0
2025-10-31 05:26:14.807049+00:00,272A,2025-10-31 13:30:00+08:00,2025-10-31 13:31:22+08:00,2025-10-31 13:30:00+08:00,2025-10-31 13:31:22+08:00,82.0
2025-10-31 05:26:44.885953+00:00,272A,2025-10-31 13:30:00+08:00,2025-10-31 13:31:22+08:00,2025-10-31 13:30:00+08:00,2025-10-31 13:31:22+08:00,82.0
2025-10-31 05:27:15.047199+00:00,272A,2025-10-31 13:30:00+08:00,2025-10-31 13:31:22+08:00,2025-10-31 13:30:00+08:00,2025-10-31 13:31:22+08:00,82.0
2025-10-31 05:27:45.124812+00:00,272A,2025-10-31 13:30:00+08:00,2025-10-31 13:31:11+08:00,2025-10-31 13:30:00+08:00,2025-10-31 13:31:11+08:00,71.0
2025-10-31 05:28:15.261233+00:00,272A,2025-10-31 13:29:50+08:00,2025-10-31 13:31:11+08:00,2025-10-31 13:29:50+08:00,2025-10-31 13:31:11+08:00,81.0
2025-10-31 05:28:45.375632+00:00,272A,2025-10-31 13:29:50+08:00,2025-10-31 13:31:11+08:00,2025-10-31 13:29:50+08:00,2025-10-31 13:31:11+08:00,81.0
2025-10-31 05:29:15.440997+00:00,272A,2025-10-31 13:29:53+08:00,2025-10-31 13:31:14+08:00,2025-10-31 13:29:53+08:00,2025-10-31 13:31:14+08:00,81.0
2025-10-31 05:29:45.595350+00:00,272A,2025-10-31 13:29:53+08:00,2025-10-31 13:31:14+08:00,2025-10-31 13:29:53+08:00,2025-10-31 13:31:14+08:00,81.0
2025-10-31 05:31:16.122817+00:00,272A,2025-10-31 13:43:04+08:00,2025-10-31 13:44:26+08:00,2025-10-31 13:43:04+08:00,2025-10-31 13:44:26+08:00,82.0
2025-10-31 05:31:46.273539+00:00,272A,2025-10-31 13:43:04+08:00,2025-10-31 13:44:26+08:00,2025-10-31 13:43:04+08:00,2025-10-31 13:44:26+08:00,82.0
2025-10-31 05:32:16.357769+00:00,272A,2025-10-31 13:43:08+08:00,2025-10-31 13:44:29+08:00,2025-10-31 13:43:08+08:00,2025-10-31 13:44:29+08:00,81.0
2025-10-31 05:32:46.711634+00:00,272A,2025-10-31 13:43:08+08:00,2025-10-31 13:44:29+08:00,2025-10-31 13:43:08+08:00,2025-10-31 13:44:29+08:00,81.0
2025-10-31 05:33:17.089117+00:00,272A,2025-10-31 13:43:08+08:00,2025-10-31 13:44:29+08:00,2025-10-31 13:43:08+08:00,2025-10-31 13:44:29+08:00,81.0
2025-10-31 05:33:47.245552+00:00,272A,2025-10-31 13:43:08+08:00,2025-10-31 13:44:29+08:00,2025-10-31 13:43:08+08:00,2025-10-31 13:44:29+08:00,81.0
