simulation,routes,avg_waiting_time,avg_queue_time
1,['74D'],0.0,0.0
2,['74D'],869.0519677176082,0.0
3,['74D'],1263.5262397135941,0.0
4,['74D'],0.0,0.0
5,['74D'],1505.664635346465,0.0
6,['74D'],2395.4259044060595,0.0
7,['74D'],1509.5208060097063,0.0
8,['74D'],962.4780510238311,0.0
9,['74D'],2778.1714028011365,0.0
10,['74D'],1742.5405483808397,0.0
11,['74D'],1633.4935476691332,0.0
12,['74D'],0.0,0.0
13,['74D'],1386.0935038212142,0.0
14,['74D'],660.3069126058082,0.0
15,['74D'],1235.5596560684514,0.0
16,['74D'],834.2047012373904,0.0
17,['74D'],2350.770937382557,0.0
18,['74D'],1877.8050617678664,0.0
19,['74D'],2497.8338083317426,0.0
20,['74D'],0.0,0.0
21,['74D'],1746.4613400988333,0.0
22,['74D'],1185.7689890371764,0.0
23,['74D'],0.0,0.0
24,['74D'],2086.7916255660407,0.0
25,['74D'],1152.736054738995,187.75390687940111
26,['74D'],0.0,0.0
27,['74D'],1094.2137452666757,0.0
28,['74D'],1172.3071290606517,0.0
29,['74D'],1690.958643405194,0.0
30,['74D'],968.705656995662,0.0
31,['74D'],0.0,0.0
32,['74D'],0.0,0.0
33,['74D'],1785.6966264686355,0.0
34,['74D'],0.0,0.0
35,['74D'],650.9934491193545,0.0
36,['74D'],0.0,0.0
37,['74D'],342.5628372496589,0.0
38,['74D'],1701.3185380861948,0.0
39,['74D'],392.691265311907,0.0
40,['74D'],1214.3533622201844,0.0
41,['74D'],383.8704762426681,0.0
42,['74D'],1742.01008389136,0.0
43,['74D'],931.7791181898288,0.0
44,['74D'],0.0,0.0
45,['74D'],1583.5402446606345,0.0
46,['74D'],1319.1792595377742,0.0
47,['74D'],2754.231731419637,0.0
48,['74D'],929.9691211733742,0.0
49,['74D'],1423.5240750758444,0.0
50,['74D'],1021.7485558468355,0.0
51,['74D'],759.96421680772,0.0
52,['74D'],1647.238589331962,0.0
53,['74D'],1910.2688873526886,0.0
54,['74D'],1543.4763629864813,0.0
55,['74D'],1187.3627907671994,14.440770442329873
56,['74D'],2931.127776493362,0.0
57,['74D'],656.905565194819,0.0
58,['74D'],1455.3167707237587,0.0
59,['74D'],2655.447421588547,0.0
60,['74D'],783.0300939992704,9.628881934825813
61,['74D'],561.1634280321657,0.0
62,['74D'],2398.186674967076,0.0
63,['74D'],0.0,0.0
64,['74D'],2913.360244894854,0.0
65,['74D'],2029.4243098800293,0.0
66,['74D'],1727.3875097652322,0.0
67,['74D'],1641.562928052936,0.0
68,['74D'],425.9770909870125,0.0
69,['74D'],1983.3456340356324,0.0
70,['74D'],251.14981546559812,0.0
71,['74D'],678.6248623191842,21.139344879055542
72,['74D'],1553.0479198342282,0.0
73,['74D'],0.0,0.0
74,['74D'],880.7670715905858,0.0
75,['74D'],1242.8504679030711,0.0
76,['74D'],3168.75139456191,0.0
77,['74D'],2353.8977238474195,0.0
78,['74D'],0.0,0.0
79,['74D'],1166.8145667464944,0.0
80,['74D'],908.3237075937543,0.0
81,['74D'],2595.6570760969253,0.0
82,['74D'],1441.143243501634,0.0
83,['74D'],2713.7695337140376,0.0
84,['74D'],774.0778987186279,124.73635216633284
85,['74D'],2611.517006987513,0.0
86,['74D'],2748.1607718093833,0.0
87,['74D'],1490.1054362925267,0.0
88,['74D'],378.59801966634285,0.0
89,['74D'],791.4900162980499,0.0
90,['74D'],886.5439920381065,0.0
91,['74D'],765.1335182487813,50.86826694045512
92,['74D'],1610.8942158600562,0.0
93,['74D'],1559.940982541076,0.0
94,['74D'],1365.9138094085017,0.0
95,['74D'],2157.150674831754,0.0
96,['74D'],0.0,0.0
97,['74D'],2302.5502113493217,0.0
98,['74D'],1179.8114743894005,0.0
99,['74D'],1483.9690753114655,0.0
100,['74D'],918.4794260333591,0.0
